天数,叙述文本,A,B,C,A结果文本,B结果文本,C结果文本,A系统结算,B系统结算,C系统结算,,破坏,文书,贿赂,？,,真相线索,体力最大值（初始10）,体力最小值（初始10）,魔力最大值（初始10）,魔力最小值（初始10）,备注,
第9天 欲加之罪,"次日清晨，清晨的光透过高窗，照在石壁上。
你被狱卒押往审讯厅。
那里的空气带着灰尘与圣油的气味。
十五座烛台燃着淡金的火焰，每一簇火都在映照着裁决的冷意。
今日的审问由副院长亲自主持。
他坐在高座后方，衣袍深色，眼神沉静，唇角带着一种令人不安的笑。
“E-9，你是否认罪？”
你沉默。
他俯身，声音如铁链拖地：“E-9，你有原罪。凡人若能炼药治人，那神的恩典，又算什么？”",假意认罪，暂避锋芒,大声诘问,向副院长告发药剂真相,"你低下头，假装顺从。
“是我误调药剂，愿以凡人之身赎神之罪。”
副院长凝视片刻，露出满意的微笑。
他取出一份契约：“主会怜悯懂得忏悔的罪人。既然认罪——那就替教会签下平民炼药师禁令，成为活证。”
他翻开一页文件，上面赫然是平民炼药师的名册与印章。
“这些人与你共事过吧？他们的罪也与你相连。”
他伸出羽笔，在名单下写下一道命令。
你隐约看见笔迹的最后一行：“即日执行焚除令。”
心脏骤紧，你意识到——你的认罪，不仅救不了自己，还会让所有平民炼药师遭殃。
但此刻你无法反抗，只能装作顺从。
火焰在圣徽上跳动，像是某种冷漠的嘲讽。","你猛地抬头，声音如火：“难道神的恩典只属于贵族？难道平民炼药就该被焚毁？”
审讯厅瞬间寂静。
副院长原本带笑的嘴角微微一抖，下一刻，他的眼神骤冷。
“放肆——”他猛地起身，圣徽撞在胸口发出沉响。
“你以为自己是谁？神的祝福不在你的血里，也不在你手中。你们窃取神术、玷污律典……以为那药能救人？它只会制造更多的异端！”
他的情绪突然失控，火焰在他身后狂乱跳动，烛台的光影在墙上扭曲成扭曲的圣像。
你从他的怒火中，看见了一丝隐藏极深的恐惧
——他害怕的并非“异端”，而是“平民能取代神”。
守卫们冲上前，将你按倒在地面。
你嘴角带血，仍冷笑。真相比烈火更刺眼。","你抬起头，声音平静：“副院长，我看过药剂的成分。那药并非我所制。”
他轻轻挑眉，神情一瞬间凝固。“你在暗示什么？”
“那瓶疗愈剂的沉淀不对，是眠鸦花粉配比失调后，会造成血液凝固、呼吸骤停，这不是炼药师的失误，而是有人故意为之。”
审讯厅陷入死寂。烛火摇曳，空气仿佛凝固。
副院长的脸色在光影中一点点阴沉，他微微俯身，“你知道吗，异端——我最不喜欢的，就是凡人自以为懂得真理的样子。”
他的手轻轻一挥。守卫们立刻明白了命令。
你被按在石地上，手臂被圣链锁死。
“凡人怎能质疑神谕？”副院长俯视着你，语气像在诵读祷词。
“主之律，不容异声。”
他起身，手按在圣徽上。
“异端之言，罪加一等。”
守卫拔剑。火焰映亮你的眼。
你来不及辩解，一道冷光已掠过空气。
世界在一瞬间陷入寂静。",获得线索：教会计划清除平民炼药师,获得线索：副院长掩盖教会垄断炼药权的事实,"获得线索：疗愈剂配方被教会篡改，副院长知情

触发结局：【真理之死】

当力气彻底流尽时，你的头垂落在审判庭的地上，仿佛一场早被写入圣典的祷告。

翌日的通告上写着——
“异端伊斯于审判中认罪后病逝，灵魂已归于圣焰。”",,5,4,4,4,,8,30,0,30,5,,
第10天 灯下之约,"铁门被轻轻推开，冰冷的空气挟着火油味涌入。
修女披着银色斗篷走进牢房，她手中提着灯，灯火映照她苍白的脸。
她看着你，眼神里有一种复杂的平静。
“你……不是那批疗愈剂的调配者，对吗？”
你注视着她。
她的眼底写着恐惧、怀疑，还有一种在挣扎的决绝。
“我亲眼见过尸体，”她低语，
“症状与圣典记录不符。你若说实话，也许还能救下更多人。”
墙外，传来钟声。像是火刑前的倒数。
你知道，她的每一句话都在燃烧。
而你的回答，将决定火焰焚向谁。",坦白真相，恳求她作伪令,转移话题，请她帮你逃脱,沉默不语,"你深吸一口气，“我没有炼那批疗愈剂。
它被篡改了，圣典中那句关于‘眠鸦花粉’的条文是假的。”
她的唇微微张开，却没有发出声音。
“若我当面求你作证，他们只会以我之名连累你。公开的证词在这殿内无用。他们已写好了结局。若想救我，必须让‘赦令’看起来来自审判庭本身。”你的语气几乎是乞求。
修女的手在灯火下颤抖。她吸了口气，像是在衡量一枚灵魂的重量。
“你想我做伪证？”她问，声音低到像是对自己说话。你把拼凑出的线索一一说给她听。
修女闭上眼，良久不语。
最终，她用很低的声音说：“我可以给你必要的材料与时间，借我的抄写室与圣油。夜半时，我会故意拖延巡检，让你有短暂的空档。”","你压低声音，说得干脆：“真相救不了我的命。想办法把我带离这里，你可否帮我伪造赦令？”
修女的瞳孔一闪，她看着你，如同衡量一枚罪与一枚命的重量。
“你要我背弃我的誓言？”她低声问。
你握住她的手，语气近乎乞求：
“若不这样，你也会为更多人的死负责。让我们先活着，再去拼真相。”
她迟疑了。最终她将脸重新藏进宽大的斗篷，低语：“我会想办法。","你沉默。灯光将她的脸拉长，墙外钟声像节拍器般冷硬。
修女看着你很久，最后叹息——那叹息里有失望。
“我以为你会说点什么。”她低声道。
她重新戴上斗篷，灯火在她背影上收缩。
“愿神为你作证。”
她转身离去，脚步声在石阶上远去，牢房又陷入只剩你与火光的寂静。",获得线索：修女的承诺（文书线推进）,获得线索：修女的承诺（文书线推进）,,,5,5,4,4,,8,30,0,30,5,,
第11天 圣烬祭,"今天是圣烬祭——教廷每年一次的赎罪节，
传说在这一天，焚烧的灰烬能将凡人的罪带上天，而火光，则是神宽恕的语言。
整个监狱弥漫着一股奇异的轻快气息。守卫换上节袍，去广场聆听神官的布道，狱卒的笑声与酒气混在走廊的阴影里。
雷恩悄悄靠近你，目光闪烁。
“今天就是机会，”他低声说，“巡逻只剩一半的人手。我撬开锁，你配好药……只差最后一步。要么今天，要么等他们的火焰吞了我们。”
你盯着火油粉的粉末，光在其中跳跃，仿佛看见自己的命运也在燃烧。
你知道这混剂危险至极，稍有不慎就会反噬。
但若成功——这扇囚笼的墙，将为你让出通往自由的缝隙。","HPMP值≥25且破坏线进度≥3，
开始制作爆炸魔药","HPMP值＜25或破坏线进度＜3，
勉力制作爆炸魔药",拒绝制作,"你深吸一口气，开始调配爆炸魔药。
火油粉在瓶中迸发出炽白的光，空气被魔力搅动，发出低沉的嗡鸣。
每一个比例、每一次振荡，都在试探生与死之间的界限。
最后一滴坠入。
——世界随之裂开。
炙热的风卷起尘灰，石墙像被撕开的兽皮。
火光冲天而起，铁栏被掀飞，
你与雷恩在烟尘中对视，谁也没时间笑。
你们冲出通风井，沿着炽热的铁脉爬行。
外头的空气冷得刺骨，却是自由的味道。
背后传来爆炸的回响，火光在夜空中化作一枚巨大的圣徽——而那象征神权的符号，正在燃烧、崩裂、坠落。","你点头，却感觉双手在发抖。
那不是恐惧，而是透支。
你强迫自己稳住手腕，将火油粉倒入烧瓶。
火光在玻璃壁上乱闪，材料未彻底融合，瓶内的气泡开始变暗。
“不对……停下！”雷恩喊道。
太迟了。
一道白光刺破空气，热浪炸裂。
你的耳朵嗡鸣，世界成了一片灼烧的寂静。
墙壁塌陷，烈焰吞没了半个牢区。
你踉跄着想冲出去，却看见雷恩倒在血与灰之间。
你跪下去，伸手去拉他，却什么也抓不住——灰烬正从你们指缝间滑落。","你摇头， “今天不是时候。”
雷恩愣了一瞬，目光闪动，
灯火照在他脸上，映出既愤怒又失望的神情。“你怕死。”
“我怕白死。”你轻声说。
他冷笑，转过身去，从床板下拽出那根锈蚀的铁钩。
“那就看我能不能比你活得久。”
他蹲在铁门前，开始撬锁。
铁链摩擦的声音在寂静的牢区里格外刺耳。你没有阻止。
半晌，锁扣“喀”的一声断开。
雷恩朝你看了一眼，那目光里掺杂着讽刺。
“若我活着出去，我会告诉他们，是你教我配药的。”
你没有回应。只看着他消失在走廊的阴影中。夜色吞没了他的脚步。
片刻后，警钟在远处响起，守卫的号角声在石墙间回荡。
你靠在墙上，静静地听着那阵喧嚣。
没有爆炸，也没有火光。
你不知道他是否逃出了那堵墙，还是倒在了没有黎明的角落。","触发结局：【铁之路】

火焰开路，铁骨成桥；凡人以血肉叩响命运之门。

你与雷恩在晨雾中离开监狱。
铁轨延伸向无尽的平原，风吹过焦土。
“我们真的出来了，”雷恩笑着说。
你没有回答，只看着远处那被火焰映红的天空。
你们脚下的铁路，是曾供圣车行走的神迹通道。
现在，它将引领你们去向凡人的世界。
火光熄灭之处，你们的影子被晨光拉长，像两道细长的裂缝——划破了神权的外壳。","触发结局：【坠灰者】

力量不及，信念焚身。凡人伸手触火，终被火吞没。

火光过后，圣烬祭的钟声再次响起。
教廷的公告上写着：“两名异端在节日之夜企图逃狱，已被圣焰净化。”
没有人提起你的名字，只有风在烧焦的墙上，重复那句失真的回声——“自由。”","体力+2
魔力+2

雷恩的越狱未传出结果，教会在翌日下令加强看守。
监狱增派了双倍人手，夜巡改为两班，炉火被封，所有炼药工具收缴。
“以防再有异端妄图以药制祸。”
此日过后，破坏的路被彻底封死。
若你仍想活下去，唯一的路，是继续谎言与信仰之间——找到一条能通向生的裂缝。（破坏线终止）",,结束,5,4,4,,8,32,2,37,7,,
第12天 赦令之印,"医务室的空气带着酒精与圣油的味道。
烛光跳动，映出铁器与羊皮卷的光泽。
修女推门而入，她的脸在灯下显得更加憔悴。
她手中捧着那卷赦令草稿，上面印着你与她共同仿制的教廷印章。
“今晚之后，他们会调换值班。若要伪造副院长的签名，只能现在。”
她的声音轻，却带着决绝。
你能感受到自己脉搏的跳动与羽笔的重量。
每一个笔划，都可能决定你是获得赦免，还是死于谎言。
烛火映照着圣徽，那光像是在审视——神究竟在赦免谁？","HPMP值≥25且文书线进度≥3，
伪造签章","HPMP值＜25或文书线进度＜3，
尝试伪造签章",放弃伪造，另寻出路,"你压低呼吸，将赦令摊在桌上。
羽笔蘸着圣油墨汁，笔尖划出的每一笔都像细微的祈祷。
“笔画收尾——对，副院长习惯偏向左下。”修女在旁低声提醒。
你点头，指尖一抖，最后一划落下。
烛光闪动，墨迹在光下流淌出与真品无异的反光。
你们对视片刻。她露出微弱的笑意。“赦令完成。”
夜半，你戴上枷锁，举着那份赦令，伪装成被转送往上级审判厅的囚徒。
门卫接过文件，圣徽反光映在他眼中。
他迟疑片刻，然后鞠了一躬。
“主的旨意，不容质疑。”
铁门缓缓开启，夜风灌入，你迈出监狱的门槛。","羽笔在你手中打滑。
圣油墨滴落在羊皮卷上，在光下晕开，如同血。
“等等——那笔不对！”修女惊呼。
你急忙想修补，可副院长的名字已经歪斜。
门外传来脚步声。烛光猛地一跳。
门被推开，审判官与守卫同时闯入。
“伪造赦令？！”
你被压在地上，修女挡在你身前。
她的眼神没有恐惧，只有释然。
“若神不赦你，我来。”
剑光一闪。烛火熄灭。","你放下羽笔。烛火在墨面上闪烁，
那光像在提醒你：这纸上的字，不属于你。
修女怔住，“你不试试？”
“假的赦令能救我一次，真相却能杀我无数次。”
她沉默，点头。“那就去找另一条路吧。
我会留下这份赦令——或许将来有人会用上。”
你离开医务室时，听见远处传来的祷声：
“愿主之焰照见虚妄。”","触发结局：【赦令幻象】

伪造的赦令闪耀着神圣的光辉。
圣阵自解，众人跪倒呼喊“神迹”。
你走出监狱大门，却看见街头悬挂着新的告示：
“疗愈剂事件主犯：伊斯·莱顿。火刑执行。”
你低头一笑。
赦令仍在发光——它确实是真的。","触发结局：【焰下之誓】

谎言与信仰皆为焰燃的祭品。

公告发布于次日清晨：“异端伊斯与堕落修女艾薇，于医务室企图伪造赦令，当场处死，以正神律。”
你与她的尸体被焚于同一炉火。
当火焰燃尽，圣徽上残留的印章依旧完整。","体力+2
魔力+2


医务室的烛光彻夜未灭，
桌上的赦令草稿仍在原处，像一段被遗忘的救赎。
而狱中风声骤紧，巡查加倍。
文书伪造的时机已过，
若想活下去，你必须另觅方法。（文书线终止）",,结束,结束,4,4,,8,34,4,39,9,,
第13天 隐火密语,"夜已深，风从通风井灌入，带着灰烬与冷铁的味道。
狱卒的巡逻声渐远，一封匿名的纸条被塞进门缝。
墨迹斑驳，却熟悉得让你心口一紧。
“午时三刻，通风管尽头。有人接应。”
——是维拉。
你还记得她第一次出现时，在庭审日上那一瞬的目光相接与指尖比出的“三”。
后来，她的讯息穿过砖缝、风口、祭坛的余灰，一次次在你最绝望的时候出现。
她说自己不再是维拉，只称自己为“隐火”。
据传，那是一个早在百年前就被圣典放逐的组织。
他们不效命于教会，也不信奉神权，
声称“凡人不应以神的名义被处决”。
而如今，这团隐火伸出的手，就在牢狱的尽头，等你伸出手去。",随维拉逃亡,将消息卖给狱卒,按兵不动,"深夜，你钻入通风口，手肘与膝盖被铁壁磨出血痕。
你爬行、呼吸、祈祷。
管道尽头透出一线光。一只手伸来。
“伊利斯。”声音温柔，像是在梦里。
“外面在等你。教会的牢笼只配困野兽，不配困启蒙者。”
她带着你钻出风口。夜风扑面而来，你几乎要笑出声。
“真的自由了吗？”你问。
维拉递给你一盏火灯。“快，主堂的军队已在路上。你必须离开。”
“拿着它，照亮前路。”
火光跳跃——你低头，看见灯罩内的刻痕：
“凡人之赎，必以其身。”
一阵剧痛穿透胸口。
你怔住。“为什么？”
她低声道：“因为他们不会相信被放逐者的话。但他们会相信一具死去的炼药师。”
你回头，却只看见他退后的身影。
“感谢你，伊利斯。你的血，将开启新的黎明。”","你没有立即撕毁那张纸条，而是盯着它看了许久。
墨香混着潮气，像一张湿冷的契约。
你心里一动——
若有人能帮你打开通风井，那么更容易被买通的，或许不是他，而是守门的人。
当夜巡路过，你敲了敲牢门。“想听个能让你升职的消息吗？”
狱卒狐疑地靠近。
你抬头，声音平淡：
 “今晚午时三刻，有人会通过通风管逃走。他们不是普通囚犯。”
狱卒皱眉，目光闪烁。“你想要什么？”
你摊开手，示意空无一物。“我只想活得久一点。”
狱卒沉默了片刻，然后取下腰间的钥匙，在铁门上轻轻敲了三下。
“若今晚有风声传来，你什么也没听见。”
他转身离去，脚步声逐渐远去。
你蜷在阴影里，心跳在胸口钝钝作响。
明日的黎明，会不会有人死去？
你不确定。你只知道——你又多活了一天。","你没有动作。只是默默地注视那张纸条。
风从通风井吹过，带走了半张碎片。
你伸手，却只抓住一缕灰烬。
夜深了。远处忽然传来一阵骚动，夹杂着金属断裂与短促的尖叫。
你明白，那是维拉行动的信号。
烛光摇曳，你靠在墙边，直到火光透过铁栏，在地面投下明灭的影子。","触发结局：【隐火之谋】

天亮时，教堂外传来混乱的钟声。
圣堂外的石阶上摆放着一具焦黑的尸体。

几日后，一封匿名宣言传遍王都：
“神的法庭已堕，凡人的血将净化世界。”
街上开始传言：教会滥杀无辜。
叛乱、清算、流血——
一切都如隐火所愿。
而你的名字，成为了新的口号。","体力+2
魔力+2

第二天，
狱卒路过你的牢门，
手指在腰间的钥匙上轻轻一抚，目光掠过你，没有停留。
桌上被留下一块冷硬的面包。
你咬下一口，味道苦得像铁。
这便是你换来的“恩赐”——一天的安宁，和一场静默的共谋。（贿赂线推进）（？线终止）","体力+2
魔力+2

隔日清晨，风道被封，巡查加倍。
囚犯们私下议论，说昨夜有人打开了风道口。
你什么也没说。
通风井口已被铆死，钥匙重新分配，劫狱的时机已永远消逝。
若想活下去，你只能另寻他法。（？线终止）",,结束,结束,5,结束,,8,36,6,41,11,,
第14天 无价之夜,"审判前夜。
狱中弥漫着铁与药的气味。火刑的号角将在黎明前吹响。
你坐在阴影里，手中握着那瓶止痛膏。
黑鼠毛的药质早已干结成粉，混着石松脂与麻油。
这是你最后的筹码。
门外传来巡逻的脚步声。那熟悉的狱卒在铁门前停下，
他看向你，目光像在衡量某种价格。
你知道——今夜之后，要么自由，要么灰烬。","HPMP值≥25且贿赂线进度≥3，
用止痛膏贿赂狱卒","HPMP值＜25或贿赂线进度＜3，
试图蒙混过关",放弃贿赂，静待审判,"你将止痛膏的瓶塞拔开，一股冷辣的药香在空气中散开。
灯火晃动着，照出你指尖那层细微的粉末——黑鼠毛、石松脂、与月桂油混合而成。
狱卒在门外停下脚步。
他仍然裹着厚重的皮甲，手臂的绷带却早已渗出暗色的血迹。
你轻声道： “你的旧伤……怕是又发作了吧？”
狱卒冷哼一声，转头警惕地盯着你。
你慢慢举起瓶子。“我可以让你重新拿起武器，像以前那样。
他沉默良久，目光在你和瓶子之间游移。“你想要什么？”
你答得平静：“钥匙。和一次离开的机会。”
狱卒低低笑了一声。“你想贿赂我？用一瓶药？”
“那我再给你更久的痛止。”你迎上他的目光，
“只要我活着，你能每月拿到这种药——你知道这配方外头买不到。”
铁门之间的寂静拉得极长。
终于，他伸手接过瓶子，动作有些僵硬。
“黎明前，东廊那扇门巡逻最松。三声钟响后，往北走。别回头。”
他说完，掏出钥匙，在铁锁上轻轻一转。
“如果你骗我，”他压低声音，
“我会亲手抓回你——不为信仰，只为疼痛。”
钥匙落入你手中时，你甚至没听见声响。
你推开门，风从外头涌进来——带着灰、铁和盐的味道。","你翻开药袋，心头一凉——材料不足，石松脂也被潮气侵蚀。
距离天亮不过两个时辰。若再拖延，巡逻换班，你连贿赂的机会都没有。
你咬牙，现在的药未加入月桂油，但狱卒不懂药，或许可以蒙混过关。
当狱卒走来时，你举起瓶子，轻声道：“你的旧伤……怕是又发作了吧？”
狱卒冷哼一声，转头警惕地盯着你。
你慢慢举起瓶子。“我可以让你重新拿起武器，像以前那样。
狱卒接过，嗅了一下。灯光下，他的眉头缓缓皱起。
“味不对。”“湿气大，药味混了。”你强作镇定。
他沉默片刻，忽然笑了。“那你自己试一试。”
你僵住了。
下一刻，铁杖重重砸下。
瓶子碎裂，药液溅到墙上，散出刺鼻的焦味。
狱卒俯下身，声音低得几乎贴在你耳边：“想骗我？敢骗我！”
他拔出短刃。冰凉的金属划开你的喉咙。
药香、血腥与灰烬的气味在空气里混成一体。","夜色压低，火光在窗外闪烁。
你盯着桌上那瓶未开封的止痛膏，
药香与灰尘混在一起，像一场未被完成的咒语。
铁门外传来巡逻声，又远又近。
你的手悬在瓶口上，却迟迟没有拔开。
这场交易，也许能换来一条命。可那真的是“救赎”吗？
你轻声呢喃：“我什么都没做……却要在火里死去？”
回答你的，只有烛火的轻响。
你抬头望向那枚圣徽，光从它的裂痕中渗出，
像一道冷笑。","触发结局：【金钥之门】

黎明的雾气尚未散尽。
你沿着湿冷的石道，一路奔向外墙的排水渠。
背后传来遥远的号角声，宣告审判日的开始。
你停下脚步，望向那座被火光笼罩的魔法院。
圣徽在烈焰中坠落，像神亲手折下的羽。
你知道自己活下来了。
但你也清楚——你不是被宽恕，而是被交易。
在灰烬的风里，你低声笑了。
“凡人的救赎，从不是祷告。”
你取出那枚沾血的钥匙，冷光在指间闪烁，
就像一枚小小的太阳。","触发结局：【苦役之血】

火刑的号角在黎明时分响起。
你被吊在审讯架上，
烛光下，那瓶半炼成的止痛膏被摆在圣徽下，作为“异端伪药”的证物。
副院长宣读你的罪状：
“以凡药冒称圣剂，以贪念欺瞒神仆。”
你听见狱卒的脚步在台下回荡，他捂着那条旧伤，低声道：“至少疼得轻了。”
火焰吞没你的呼吸。
在灰烬散开的那一刻，
你仿佛听见瓶中的药气炸裂，发出一声极轻的叹息。","体力+2
魔力+2

天亮前的风带着铁的腥味。
医务室的烛火燃尽，瓶中药液凝成灰白的块状。
狱卒没有再来。狱卒不会再来。
你靠在墙边，听见远处传来钟声。
你闭上眼，那一刻，你几乎相信，
也许死亡，才是最后的清白。（贿赂线终止）",,结束,结束,结束,结束,,8,,,,,,
第15天 罪与罚,"清晨的钟声在雾中回荡。
你被铁链拖出牢房，每一次铁环的摩擦，都像是金属在宣读判决。
广场上挤满了人。
他们的面孔在火光与寒气中模糊不清，有人祈祷，有人咒骂，更多的人只是安静地看着。
木台中央立着高高的刑柱，上面缠着麻绳与圣徽。
麻绳是粗糙的，圣徽却闪着金光——
信仰总是温柔，而死亡总是高贵。
副院长走上台阶，手中展开那张象征神意的赦令卷轴，
声音清晰而冷淡：
“炼药师伊利斯·梅林，因滥用圣术，亵渎神恩，
伪造疗愈剂，致信徒数百人中毒死亡。
依圣法——火刑。”
你抬起头，雾气模糊了天。
那是一种苍白的颜色，像未被神回应的祷告。",,,,,,,"触发结局：【灰烬升空】

烈焰沿着麻绳攀升，你的身体被火光包裹。
空气中爆裂出药草燃烧的气味，石松脂、月桂油、还有血的甜腥味。
周围的喧嚣逐渐远去，只剩火焰的低语。
在最后一瞬，你看见圣堂的尖顶倒映在瞳孔中——
光透过灰烬，像神的手指轻触尘世。
你想起一句旧经：“灵魂升空者，将化为治愈之风。”

火焰吞噬了你的呼吸，
烟升入天，化作无声的祷告。",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
故事背景,,,,,,,,,,,,,,,,,,,,,,,
"在阿卡纳姆帝国里，魔法与教权共治。
你是教会的平民药剂师伊利斯·梅林。
两天前，帝国爆发“疗愈剂毒变”事件——数百士兵饮下你配置的疗愈剂后中毒死亡，均死于呼吸急停，尸体表面浮现暗蓝色的灼烧痕迹。
审判院档案将“主要调配者”记录为你本人。
然而你确信疗愈剂的配方没有任何问题，这到底是一场已有蓄谋的栽赃，还是仅仅将你作为他人的挡箭牌……棘手的是，你已经顾不上想这些了，你被捕入狱，审判庭的裁决流程走得异常的快，还有十五天，你便会被送上处刑台处死。

你要在有限的日子中找到真相、保存体力、积蓄魔力，并尝试越狱。

贿赂狱卒？破坏监狱？伪造赦令？到底如何才能活下去？！请做好准备。

体力：10
魔力：10",,,,,,,,,,,,,,,,,,,,,,,
体力值≤0,,,,,,,,,,,,,,,,,,,,,,,
"触发结局：【躯壳之蚀】
你倒在冰冷的石砖上，连抬起手指的力气都已耗尽。
牢狱的阴影如湿冷的裹尸布，缓缓覆盖你的意识。
你听见远处传来狱卒的脚步声，却无力回应。
饥饿、寒冷、伤痛——凡人的躯壳终究敌不过神的囚笼。
在你合上眼的最后一刻，灰烬灯的光晕中仿佛浮现出炼金工坊的旧影。
那是你调制第一瓶疗愈剂的午后，阳光穿过药架，像神未曾收回的恩典。

翌日，狱卒在点名簿上划去你的编号。
“囚徒 E-9 于昨夜病逝，已按圣律焚化。”
无人追问病因，也无人记得你的名字。
灰烬升空时，风中没有祷告。

",,,,,,,,,,,,,,,,,,,,,,,
魔力值≤0,,,,,,,,,,,,,,,,,,,,,,,
"触发结局：【法脉枯竭】
你感到体内的魔力如沙漏中的流沙，正一点一滴地消散。
每一次呼吸都像是在抽取灵魂的残片，每一次思考都撕裂着意识的边界。
你试图调动最后一丝魔力——
但回应你的只有虚无，与一片死寂的黑暗。
反噬如潮水般涌来，吞噬你的知觉，瓦解你的意志。
你像一具被抽空灵魂的傀儡，倒在祭坛未竟的咒文之间。

“异端伊利斯·梅林，因魔力失控自毁于狱中。”
当圣焰燃起时，你的名字已从历史中抹去，如同从未存在。",,,,,,,,,,,,,,,,,,,,,,,
体力值魔力值同时≤0,,,,,,,,,,,,,,,,,,,,,,,
"触发结局：【双烬】
你的身体如断线的傀儡，倒在石壁与铁栏之间。
体力早已耗尽，魔力亦如残烛在风中熄灭。
你听见自己心跳的尾声，像是远方钟楼传来的丧钟。
狱卒推开铁门，他沉默片刻，伸手合上你的双眼。

“又一个炼金师，”他低语，“死在自己的药与梦里。”
公告上没有你的死因，只有一句冰冷的结语：
“E-9 已归于寂静。”
灰烬不分彼此，凡人的血与智，终将归于同一种尘埃。",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
